rank,kind,label,record_count,file_count,top_pair_style,example_potential_id,example_doi
1,element,Cu,26,39,eam/fs,1986--Foiles-S-M--Cu--LAMMPS--ipr1,10.1103/physrevb.33.7983
2,element,Fe,24,33,eam/alloy,1997--Ackland-G-J--Fe--LAMMPS--ipr1,10.1080/01418619708207198
3,element,Al,21,26,eam/alloy,1999--Mishin-Y--Al--LAMMPS--ipr1,10.1103/physrevb.59.3393
4,element,Au,14,19,eam/alloy,1986--Foiles-S-M--Au--LAMMPS--ipr1,10.1103/physrevb.33.7983
5,element,Ni,14,20,eam/fs,1986--Foiles-S-M--Ni--LAMMPS--ipr1,10.1103/physrevb.33.7983
6,element,W,14,19,eam/alloy,1987--Ackland-G-J--W--LAMMPS--ipr1,10.1080/01418618708204464
7,element,Ta,12,19,eam/alloy,1987--Ackland-G-J--Ta--LAMMPS--ipr1,10.1080/01418618708204464
8,element,Ti,11,16,eam/fs,1992--Ackland-G-J--Ti--LAMMPS--ipr1,10.1080/01418619208247999
9,element,Zr,11,12,eam/fs,1995--Ackland-G-J--Zr--LAMMPS--ipr1,10.1080/01418619508244468
10,element,Ag,9,13,eam/alloy,1986--Foiles-S-M--Ag--LAMMPS--ipr1,10.1103/physrevb.33.7983
11,element,Mo,9,12,eam/alloy,1987--Ackland-G-J--Mo--LAMMPS--ipr1,10.1080/01418618708204464
12,element,Si,9,10,tersoff,1985--Stillinger-F-H--Si--LAMMPS--ipr1,10.1103/physrevb.31.5262
13,element,Mg,8,9,eam/fs,2004--Zhou-X-W--Mg--LAMMPS--ipr1,10.1103/physrevb.69.144113
14,element,Pt,7,8,eam,1986--Foiles-S-M--Pt--LAMMPS--ipr1,10.1103/physrevb.33.7983
15,element,Co,6,9,eam/alloy,2004--Zhou-X-W--Co--LAMMPS--ipr1,10.1103/physrevb.69.144113
16,element,Na,5,5,eam/fs,2015--Wilson-S-R--Na--LAMMPS--ipr1,10.1063/1.4916741
17,element,Pb,5,8,eam/alloy,2003--Lee-B-J--Pb--LAMMPS--ipr1,10.1103/physrevb.68.144112
18,element,Pd,5,6,eam,1986--Foiles-S-M--Pd--LAMMPS--ipr1,10.1103/physrevb.33.7983
19,element,Cr,4,7,meam,2001--Lee-B-J--Cr--LAMMPS--ipr1,10.1103/physrevb.64.184102
20,element,Li,4,5,eam/fs,2012--Kim-Y-M--Li--LAMMPS--ipr1,10.1088/0965-0393/20/3/035005
21,element,Nb,4,5,eam/fs,1987--Ackland-G-J--Nb--LAMMPS--ipr1,10.1080/01418618708204464
22,element,V,4,5,eam/fs,1987--Ackland-G-J--V--LAMMPS--ipr1,10.1080/01418618708204464
23,element,C,3,4,lcbop,2003--Los-J-H--C--LAMMPS--ipr1,10.1103/physrevb.68.024107
24,element,Cs,2,2,eam/fs,2016--Nichol-A--Cs--LAMMPS--ipr1,10.1103/physrevb.93.184101
25,element,Ge,2,3,meam,2008--Kim-E-H--Ge--LAMMPS--ipr1,10.1016/j.calphad.2007.12.003
26,element,K,2,2,eam/fs,2016--Nichol-A--K--LAMMPS--ipr1,10.1103/physrevb.93.184101
27,element,Mn,2,4,meam,2009--Kim-Y-M--Mn--LAMMPS--ipr1,10.1016/j.actamat.2008.09.031
28,element,Rb,2,2,eam/fs,2016--Nichol-A--Rb--LAMMPS--ipr1,10.1103/physrevb.93.184101
29,element,U,2,3,eam/alloy,2012--Smirnova-D-E--U--LAMMPS--ipr1,10.1088/0953-8984/24/1/015702
30,element,Be,1,1,eam/alloy,2013--Agrawal-A--Be--LAMMPS--ipr1,10.1088/0965-0393/21/8/085001
31,element,Bi,1,2,meam,2021--Zhou-H--Bi--LAMMPS--ipr1,10.1088/1361-651x/ac095c
32,element,Ca,1,2,meam,2015--Kim-K-H--Ca--LAMMPS--ipr1,10.1016/j.calphad.2014.10.001
33,element,Ce,1,2,meam,2023--Kizzire-D-G--Ce--LAMMPS--ipr1,10.1016/j.commatsci.2023.112454
34,element,In,1,2,meam,2008--Do-E-C--In--LAMMPS--ipr1,10.1016/j.calphad.2007.08.004
35,element,P,1,2,meam,2012--Ko-W-S--P--LAMMPS--ipr1,10.1088/0953-8984/24/22/225002
36,element,Ru,1,1,eam/fs,2008--Fortini-A--Ru--LAMMPS--ipr1,10.1063/1.2991301
37,element,Sn,1,2,meam,2018--Ko-W-S--Sn--LAMMPS--ipr1,10.3390/met8110900
38,element,Tb,1,1,eam/fs,2018--Mendelev-M-I--Tb--LAMMPS--ipr1,10.1063/1.5026922
39,element,Y,1,2,meam,2013--Ko-W-S--Y--LAMMPS--ipr1,10.1088/0965-0393/21/8/085008
40,element,Zn,1,2,meam,2018--Jang-H-S--Zn--LAMMPS--ipr1,10.1016/j.calphad.2018.01.003
41,binary_alloy,Al-Ni,10,17,eam/alloy,2002--Mishin-Y--Ni-Al--LAMMPS--ipr1,10.1103/physrevb.65.224114
42,binary_alloy,C-Si,9,10,tersoff,1989--Tersoff-J--Si-C--LAMMPS--ipr1,10.1103/physrevb.39.5566
43,binary_alloy,Cu-Ni,8,11,eam/alloy,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,10.1103/physrevb.32.7685
44,binary_alloy,Cr-Fe,7,20,hybrid/overlay,2001--Lee-B-J--Fe-Cr--LAMMPS--ipr1,10.1016/s0364-5916(02)00005-6
45,binary_alloy,Al-Cu,6,8,bop,1999--Liu-X-Y--Al-Cu--LAMMPS--ipr1,10.1016/s1359-6454(99)00186-x
46,binary_alloy,C-Fe,6,7,meam,2006--Lee-B-J--Fe-C--LAMMPS--ipr1,10.1016/j.actamat.2005.09.034
47,binary_alloy,Co-Ni,6,10,eam/alloy,2015--Kim-Y-K--Ni-Co--LAMMPS--ipr1,10.1088/0965-0393/23/5/055004
48,binary_alloy,Ni-Ti,6,9,meam,2015--Ko-W-S--Ni-Ti--LAMMPS--ipr1,10.1103/physrevb.92.134107
49,binary_alloy,O-Si,6,12,vashishta,1990--Vashishta-P--Si-O--LAMMPS--ipr1,10.1103/physrevb.41.12197
50,binary_alloy,Cu-Zr,5,6,eam/fs,2007--Mendelev-M-I--Cu-Zr--LAMMPS--ipr1,10.1063/1.2769157
51,binary_alloy,Al-Co,4,7,meam,2012--Dong-W-P--Co-Al--LAMMPS--ipr1,10.1016/j.calphad.2012.04.001
52,binary_alloy,Al-Fe,4,7,meam,2005--Mendelev-M-I--Al-Fe--LAMMPS--ipr1,10.1557/jmr.2005.0024
53,binary_alloy,Al-Mg,4,5,eam/alloy,1997--Liu-X-Y--Al-Mg--LAMMPS--ipr1,10.1016/s0039-6028(96)01154-5
54,binary_alloy,Al-Ti,4,8,meam,2003--Zope-R-R--Ti-Al--LAMMPS--ipr1,10.1103/physrevb.68.024102
55,binary_alloy,Cu-Ta,4,4,eam/alloy,2004--Zhou-X-W--Ta-Cu--LAMMPS--ipr1,10.1103/physrevb.69.144113
56,binary_alloy,Fe-H,4,5,eam/fs,2007--Lee-B-J--Fe-H--LAMMPS--ipr1,10.1016/j.actamat.2007.08.041
57,binary_alloy,Fe-Ni,4,6,meam,2009--Bonny-G--Fe-Ni--LAMMPS--ipr1,10.1088/0965-0393/17/2/025010
58,binary_alloy,Re-W,4,4,eam/alloy,2017--Bonny-G--W-Re--LAMMPS--ipr1,10.1063/1.4982361
59,binary_alloy,Ag-Cu,3,5,eam/alloy,2006--Williams-P-L--Cu-Ag--LAMMPS--ipr1,10.1088/0965-0393/14/5/002
60,binary_alloy,Cr-Ni,3,5,meam,2017--Wu-C--Ni-Cr--LAMMPS--ipr1,10.1016/j.calphad.2017.03.007
61,binary_alloy,Ga-N,3,4,tersoff,2003--Nord-J--Ga-N--LAMMPS--ipr1,10.1088/0953-8984/15/32/324
62,binary_alloy,Ge-Se,3,3,vashishta,2020--Tavanti-F--Ge40Se60--LAMMPS--ipr1,10.1021/acsaelm.0c00581
63,binary_alloy,Nb-Zr,3,3,adp,2017--Smirnova-D-E--Zr-Nb--LAMMPS--ipr1,10.1016/j.commatsci.2016.12.016
64,binary_alloy,Ni-Pd,3,5,eam/alloy,2016--Samolyuk-G-D--Ni-Pd--LAMMPS--ipr1,10.1088/0953-8984/28/17/175501
65,binary_alloy,Ni-Zr,3,4,eam/fs,2012--Mendelev-M-I--Ni-Zr--LAMMPS--ipr1,10.1080/14786435.2012.712220
66,binary_alloy,Al-Sm,2,2,eam/fs,2015--Mendelev-M-I--Al-Sm--LAMMPS--ipr1,10.1088/0965-0393/23/4/045013
67,binary_alloy,Al-U,2,2,meam,2015--Pascuet-M-I--Al-U--LAMMPS--ipr1,10.1016/j.jnucmat.2015.09.030
68,binary_alloy,As-Ga,2,2,tersoff,2002--Albe-K--Ga-As--LAMMPS--ipr1,10.1103/physrevb.66.035205
69,binary_alloy,Au-Si,2,2,adp,2018--Starikov-S-V--Si-Au--LAMMPS--ipr1,10.1016/j.commatsci.2017.09.054
70,binary_alloy,C-Cu,2,3,bop,2015--Zhou-X-W--C-Cu--LAMMPS--ipr1,10.1002/jcc.23949
71,binary_alloy,C-H,2,5,meam,2014--Nouranian-S--CH--ipr1,10.1039/c4cp00027g
72,binary_alloy,Cd-Te,2,2,sw,1989--Wang-Z-Q--Cd-Te--LAMMPS--ipr1,10.1103/physrevb.40.3129
73,binary_alloy,Ce-O,2,3,reax/c,2015--Broqvist-P--Ce-O--LAMMPS--ipr1,10.1021/acs.jpcc.5b01597
74,binary_alloy,Co-Cr,2,4,meam,2017--Choi-W-M--Co-Cr--LAMMPS--ipr1,10.1016/j.commatsci.2017.01.002
75,binary_alloy,Co-Cu,2,4,meam,2020--Wang-J--Cu-Co--LAMMPS--ipr1,10.1016/j.commatsci.2020.109627
76,binary_alloy,Co-Fe,2,4,meam,2017--Choi-W-M--Co-Fe--LAMMPS--ipr1,10.1016/j.commatsci.2017.01.002
77,binary_alloy,Co-Mn,2,4,meam,2017--Choi-W-M--Co-Mn--LAMMPS--ipr1,10.1016/j.commatsci.2017.01.002
78,binary_alloy,Co-Ti,2,4,meam,2020--Oh-S-H--Co-Ti--LAMMPS--ipr1,10.1016/j.calphad.2020.101791
79,binary_alloy,Cr-Mn,2,4,meam,2017--Choi-W-M--Cr-Mn--LAMMPS--ipr1,10.1016/j.commatsci.2017.01.002
80,binary_alloy,Cu-Fe,2,4,meam,2005--Lee-B-J--Fe-Cu--LAMMPS--ipr1,10.1103/physrevb.71.184205
81,binary_alloy,Fe-Mn,2,4,meam,2009--Kim-Y-M--Fe-Mn--LAMMPS--ipr1,10.1016/j.actamat.2008.09.031
82,binary_alloy,Fe-P,2,3,eam/fs,2004--Ackland-G-J--Fe-P--LAMMPS--ipr1,10.1088/0953-8984/16/27/003
83,binary_alloy,Fe-Ti,2,4,meam,2008--Sa-I--Fe-Ti--LAMMPS--ipr1,10.1016/j.scriptamat.2008.05.007
84,binary_alloy,H-Zr,2,4,meam,2014--Lee-B-M--Zr-H--LAMMPS--ipr1,10.1007/s11661-014-2230-4
85,binary_alloy,In-P,2,2,vashishta,2009--Branicio-P-S--In-P--LAMMPS--ipr1,10.1088/0953-8984/21/9/095002
86,binary_alloy,Li-Pb,2,2,eam/cd,2014--Fraile-A--Pb-Li--LAMMPS--ipr1,10.1016/j.jnucmat.2014.01.037
87,binary_alloy,Mn-Ni,2,4,meam,2017--Choi-W-M--Mn-Ni--LAMMPS--ipr1,10.1016/j.commatsci.2017.01.002
88,binary_alloy,Mo-U,2,2,adp,2018--Starikov-S-V--U-Mo--LAMMPS--ipr1,10.1016/j.jnucmat.2017.11.047
89,binary_alloy,Nb-Ni,2,2,eam/fs,2016--Zhang-Y--Ni-Nb--LAMMPS--ipr1,10.1063/1.4968212
90,binary_alloy,Ni-W,2,4,meam,2003--Shim-J-H--Ni-W--LAMMPS--ipr1,10.1557/jmr.2003.0260
91,binary_alloy,Ag-Au,1,2,meam,2022--Alvi-S-M-A-A--Ag-Au--LAMMPS--ipr1,10.1016/j.mechmat.2022.104304
92,binary_alloy,Ag-Ni,1,1,eam/fs,2018--Pan-Z--Ag-Ni--LAMMPS--ipr1,10.1088/1361-651x/aadea3
93,binary_alloy,Ag-Zr,1,2,meam,2009--Kang-K-H--Zr-Ag--LAMMPS--ipr1,10.1016/j.scriptamat.2009.07.002
94,binary_alloy,Al-Cr,1,2,meam,2025--Sharifi-H--Cr-Al--LAMMPS--ipr1,10.1016/j.commatsci.2024.113595
95,binary_alloy,Al-H,1,2,meam,2011--Ko-W-S--Al-H--LAMMPS--ipr1,10.1557/jmr.2011.95
96,binary_alloy,Al-Hf,1,2,meam,2022--Fereidonnejad-R--Al-Hf--LAMMPS--ipr1,10.1016/j.commatsci.2022.111685
97,binary_alloy,Al-Mn,1,2,meam,2025--Sharifi-H--Mn-Al--LAMMPS--ipr1,10.1016/j.commatsci.2024.113595
98,binary_alloy,Al-Nb,1,2,meam,2022--Fereidonnejad-R--Al-Nb--LAMMPS--ipr1,10.1016/j.commatsci.2022.111685
99,binary_alloy,Al-O,1,1,comb3,2015--Choudhary-K--Al-O--LAMMPS--ipr1,10.1088/0953-8984/27/30/305004
100,binary_alloy,Al-Pb,1,1,eam/alloy,2000--Landa-A--Al-Pb--LAMMPS--ipr1,10.1016/s1359-6454(00)00002-1
