id,partner,type,sector,relationship_status,unlock_value,annual_contract_potential_usd_k,tier,source_url,notes
openkim,OpenKIM Consortium,Academic infrastructure,Materials standards,prospective,Validation backbone for Lupine; mutual benchmark interoperability,0,verified,https://openkim.org/,"NSF-supported; 500+ archived potentials; co-authoring or test-suite integration"
materials-project,Materials Project (LBNL),National lab,Materials database,prospective,Workflow integration with pymatgen; cited in Lupine paper; potential CRADA,250,verified,https://next-gen.materialsproject.org/,"DOE BES funded; CRADA-style cooperative R&D; benchmark co-authorship"
nist-mml,NIST Materials Measurement Laboratory,National lab,Standards & reference data,prospective,Reference data + ontology integration; MGI-aligned cooperative agreement,400,verified,https://www.nist.gov/mml,"~$15M annual budget; FAIR data and autonomous lab coordination remit"
ornl-cnms,ORNL Center for Nanophase Materials Sciences,National lab,User facility,prospective,Beam-line + frontier compute access; SBIR Phase II co-investigator,750,verified,https://www.ornl.gov/cnms,"Frontier exascale system; user proposals quarterly"
anl-cnm,ANL Center for Nanoscale Materials,National lab,User facility,prospective,Aurora exascale access; co-investigator on ALCC awards,750,verified,https://www.anl.gov/cnm,"Aurora exascale + AI-optimized; ALCC gateway"
mit-dmref,MIT (Marzari / Kaxiras / Olivetti groups),Academic,Materials theory + ML,warm,DMREF co-PI; published validation in Lupine benchmark; user reference,150,directional,https://www.mit.edu/,"Existing MGI-funded groups; quoted as reference users in pitch"
stanford-suncat,Stanford SUNCAT / Materials Sciences,Academic,Catalysis + ML,prospective,Joint pilot for catalyst potentials; CATALCHEM-E STTR partnership,250,directional,https://suncat.stanford.edu/,"ARPA-E CATALCHEM-E mechanism aligns; catalyst MLIPs are a demand spike"
caltech-materials,Caltech Materials Science,Academic,Theory + simulation,prospective,DMREF lead institution candidate; high-profile validation user,150,directional,https://www.mse.caltech.edu/,"DMREF awardee history; visible in MGI workshops"
umich-prime,University of Michigan PRIME / Sundararaghavan group,Academic,AM + UQ,prospective,Direct DARPA SURGE/PRIME extension; UQ workflow co-author,500,verified,https://prime.engin.umich.edu/,"$10.3M DARPA program 2022-2026; transition partner candidate"
brown-multifidelity,Brown University (multi-fidelity UQ),Academic,UQ methods,prospective,EQUiPS lineage co-author; methodology validation,150,verified,https://www.brown.edu/,"DARPA EQUiPS legacy group; multi-fidelity UQ methods"
georgia-tech-phasefield,Georgia Tech (phase-field UQ),Academic,Mesoscale,prospective,Cross-scale validation partner,150,verified,https://www.gatech.edu/,"DMREF awardee in phase-field UQ"
tsmc,TSMC,Industry,Semiconductors,target,Process material qualification; sovereignty-friendly alternative to VASP,1500,directional,https://www.tsmc.com/,"Highest-value semi target; multi-year contract opportunity if defense / sovereignty fits"
intel-foundry,Intel Foundry Services,Industry,Semiconductors,target,US foundry materials qualification; CHIPS Act tailwind,1200,directional,https://www.intel.com/content/www/us/en/foundry/overview.html,"CHIPS Act $52.7B tailwind; US foundry build-out"
samsung-semi,Samsung Semiconductor R&D,Industry,Semiconductors,target,DRAM/NAND materials simulation; sovereignty-friendly,800,directional,https://semiconductor.samsung.com/,"Multi-fab R&D budget; existing simulation procurement"
ge-aerospace,GE Aerospace,Industry,Aerospace alloys,target,Superalloy qualification; PRIME methodology transition,1500,directional,https://www.geaerospace.com/,"$10B+ R&D footprint; existing UQ practice; PRIME transition partner"
rolls-royce,Rolls-Royce,Industry,Aerospace propulsion,target,Single-crystal turbine alloy lifing,1000,directional,https://www.rolls-royce.com/,"UK sovereign + US business; aligned with UK National Materials Innovation Strategy"
pratt-whitney,Pratt & Whitney (RTX),Industry,Aerospace propulsion,target,High-temperature alloy simulation,1000,directional,https://prattwhitney.rtx.com/,"DOD / commercial dual-use; PRIME-adjacent qualification need"
boeing,Boeing Research & Technology,Industry,Aerospace structures,target,Composite + alloy fatigue prediction,1500,directional,https://www.boeing.com/,"Boeing BR&T runs simulation procurement; ITAR-eligible workloads"
lockheed-skunkworks,Lockheed Martin Skunk Works,Industry,Defense aerospace,target,Hypersonics + thermal protection materials,1500,directional,https://www.lockheedmartin.com/,"DARPA program lineage; ITAR + sovereignty critical"
qsa-lithium,QuantumScape / Solid Power / Sila,Industry,Battery materials,target,Solid-state electrolyte simulation,500,directional,https://www.quantumscape.com/,"Three battery startups doing materials qualification at SOTA"
form-energy,Form Energy,Industry,Iron-air battery,target,Cathode/electrolyte materials simulation,300,directional,https://formenergy.com/,"DOE-backed long-duration storage; materials cycle bottleneck"
tesla-energy,Tesla Drivetrain & Materials,Industry,EV battery,target,4680 cell chemistry & cathode optimization,750,directional,https://www.tesla.com/,"Internal materials team; potential consultancy + tooling deal"
exxon-low-c,ExxonMobil Low Carbon Solutions,Industry,Catalysis + carbon capture,target,Catalyst discovery for CCS,800,directional,https://corporate.exxonmobil.com/,"$15B Low Carbon investment; carbon capture catalysts"
basf-rd,BASF Research & Development,Industry,Catalysis + polymers,target,Heterogeneous catalysis + battery materials,1000,directional,https://www.basf.com/,"Multi-billion R&D; sustained simulation customer of legacy tools"
toyota-r-d,Toyota Research Institute (TRI),Industry,EV / autonomy,prospective,Battery materials informatics; existing partnership program,500,verified,https://www.tri.global/,"TRI has a materials informatics program; published collaborations available"
sandia,Sandia National Laboratories,National lab,Defense,prospective,LAMMPS integration; SNL-funded UQ work,400,verified,https://www.sandia.gov/,"LAMMPS home; UQ software portfolio (Dakota); potential CRADA"
llnl,Lawrence Livermore National Laboratory,National lab,Defense / energy,prospective,Stockpile stewardship MLIPs; UQ frameworks,400,verified,https://www.llnl.gov/,"Defense materials simulation; Sapling/Sierra HPC"
afrl-rxa,AFRL Materials & Manufacturing Directorate,Federal R&D,Defense aerospace,prospective,DMREF partner agency; DEVCOM partnership,800,verified,https://www.afrl.af.mil/RXA/,"DMREF partner; air-frame and propulsion materials"
darpa-dso,DARPA Defense Sciences Office,Federal R&D,Defense,prospective,Direct contract to extend EQUiPS / PRIME,2000,verified,https://www.darpa.mil/about-us/offices/dso,"Office-wide BAA always open; rolling submission"
arpa-e,ARPA-E,Federal R&D,Energy,prospective,CATALCHEM-E SBIR/STTR partner,1000,verified,https://arpa-e.energy.gov/,"Multiple program lines; OPEN+ rolling"
