id,line_item,segment,unit,value_usd,tier,source_doc,notes
acv-academic-tier-1,ACV academic Tier 1 (R1 group),Academic,group/year,5000,directional,,"R1 university research group; replaces $4500 VASP seat plus modest premium for managed compute"
acv-academic-tier-2,ACV academic Tier 2 (department site),Academic,site/year,40000,directional,,"Department-wide license; bundled with on-prem deployment + training; ~10x individual seat"
acv-national-lab,ACV national lab cooperative,National lab,site/year,250000,directional,data/partner_targets.csv,"DOE/NIST cooperative agreement scale; year 1 typically pilot-funded"
acv-industry-pilot,ACV industry pilot (year 1),Industry,company/year,150000,directional,,"3-month paid POC + 9-month follow-on; standard for materials informatics SaaS"
acv-industry-prod,ACV industry production,Industry,company/year,750000,directional,data/partner_targets.csv,"Mid-tier OEM (battery / specialty materials) full deployment after successful pilot"
acv-industry-enterprise,ACV industry enterprise,Industry,company/year,1500000,directional,data/partner_targets.csv,"Aerospace / semi top-tier full deployment; matches PRIME-class program scale"
acv-defense-program,ACV defense / federal program,Federal R&D,program/year,2000000,directional,data/partner_targets.csv,"DARPA-style direct contract + ITAR-eligible deployment; matches SURGE/PRIME line item"
gross-margin-software,Gross margin software,All,percent,85,triangulated,,"Industry standard for vertical scientific SaaS (Schrodinger 75-80% blended; pure software 85%+)"
gross-margin-managed-compute,Gross margin managed compute,All,percent,55,triangulated,,"Cloud passthrough + small managed-services markup; verified by hyperscaler partner economics"
cost-cloud-a100-hour,Cost A100 GPU-hour spot,Cloud,gpu-hour,1.5,verified,,"AWS p4d/p4de spot ~$1.50; on-demand ~$3-4; figure is blended low-end"
cost-cloud-h100-hour,Cost H100 GPU-hour on-demand,Cloud,gpu-hour,4,verified,,"AWS p5 H100 ~$3.5-4.5/hr on-demand 2025; spot half"
cost-finetune-mlip,Cost MLIP fine-tune per model,Compute,model,400,triangulated,data/market_segments.csv,"60-140 GPU-hours at $2-3/hr; midpoint $400"
cost-validation-suite,Cost full validation suite per material,Compute,material,12,triangulated,data/market_segments.csv,"~10 GPU-hours per phonon material at $1.5/hr blended; rounded"
salary-research-engineer,Loaded salary Rust + ML engineer,Personnel,FTE/year,250000,triangulated,,"$180-200K base + 30% loaded benefits/payroll; SF/remote-US 2026"
salary-staff-scientist,Loaded salary staff scientist (PhD physics/CS),Personnel,FTE/year,275000,triangulated,,"$200-220K base + 30% loaded; competitive vs DeepMind/MS Research/national labs"
salary-go-to-market,Loaded salary technical GTM (sales engineer),Personnel,FTE/year,225000,triangulated,,"$170K base + variable + 30% loaded"
salary-founder,Loaded salary founder/CEO,Personnel,FTE/year,225000,directional,,"Below-market founder salary at seed stage"
cac-academic,Customer acquisition cost academic,Sales,customer,2000,directional,,"Conference + content + 1-call close; replaces commercial competitor at low friction"
cac-industry-pilot,Customer acquisition cost industry pilot,Sales,customer,40000,directional,,"3-6 month sales cycle; technical evaluator + champion + procurement"
cac-defense,Customer acquisition cost defense program,Sales,customer,150000,directional,,"12-18 month BAA / SBIR / direct-award cycle; multiple proposals; matched cost-share"
ltv-academic,LTV academic 5-year,Academic,customer,22500,directional,,"$5K x 5 years x 90% retention compounded; high stickiness once integrated"
ltv-industry,LTV industry 5-year,Industry,customer,4500000,directional,,"$750K x 5 years x 85% net retention with expansion to $1.5M by year 3"
ltv-defense,LTV defense 5-year,Federal R&D,customer,9000000,directional,,"$2M x 5 years with renewal probability 80%+ on transition success"
infra-cloud-baseline,Infrastructure baseline cloud spend,Operations,month,15000,directional,,"Engineering + dev + small-customer hosting baseline"
office-overhead,Office + overhead per FTE,Operations,FTE/year,18000,triangulated,,"Remote-first: laptops, software, travel, coworking, legal/accounting allocated"
