id,company,ticker,sector,market_cap_usd_m,revenue_ltm_usd_m,ev_usd_m,ev_revenue_x,ev_ebitda_x,gross_margin_pct,rev_growth_pct,tier,source_url,notes
synopsys,Synopsys,NASDAQ:SNPS,Engineering software (EDA),90000,7000,89000,12.7,38,80,15,disclosed,https://www.synopsys.com/company/investor-relations.html,"FY24 revenue ~$7B; ANSYS acquisition closed; benchmark for engineering simulation consolidator"
cadence,Cadence Design Systems,NASDAQ:CDNS,Engineering software (EDA),75000,4500,74000,16.4,40,89,14,disclosed,https://www.cadence.com/en_US/home/company/investor-relations.html,"FY24 revenue ~$4.5B; pure-play EDA; 89% gross margin; durable mid-teens growth"
ansys-pre,ANSYS pre-acquisition,NASDAQ:ANSS,Engineering simulation,35000,2200,34000,15.5,35,90,11,disclosed,https://investors.ansys.com/,"At acquisition by Synopsys (Jan 2024 announce, 2025 close): $2.2B revenue, $35B EV. The reference simulation public exit comp."
altair,Altair Engineering,NASDAQ:ALTR,Engineering simulation,10000,640,10000,15.6,28,70,12,disclosed,https://altair.com/,"Acquired by Siemens 2024 at ~$10B; mid-tier simulation"
schrodinger,Schrodinger,NASDAQ:SDGR,Materials + drug discovery software,4000,250,3700,14.8,negative,72,18,disclosed,https://ir.schrodinger.com/,"Hybrid software + therapeutics; software segment ~$120M; software-only multiple ~30x; we use blended"
recursion,Recursion Pharmaceuticals,NASDAQ:RXRX,AI for drug discovery,3500,80,3000,37.5,negative,55,40,disclosed,https://ir.recursion.com/,"AI-for-science premium; pre-revenue valuation peaked $5B 2021; now $3-4B; useful for asymmetric tail"
schrodinger-software-only,Schrodinger software segment only,NASDAQ:SDGR,Materials science software,n/a,120,n/a,30,n/a,75,22,triangulated,https://ir.schrodinger.com/,"Implied software-only multiple based on segment disclosure; closest pure comp to Lupine"
exscientia,Exscientia (acquired by Recursion),private,AI drug discovery,800,30,750,25.0,negative,60,25,disclosed,https://www.exscientia.ai/,"Pre-Recursion-acquisition valuation context for AI-for-bio"
relay-therapeutics,Relay Therapeutics,NASDAQ:RLAY,Computational drug discovery,1200,5,800,160,negative,n/a,n/a,disclosed,https://ir.relaytx.com/,"Computational platform pre-revenue; useful for upper-bound tail"
roivant,Roivant Sciences,NASDAQ:ROIV,Drug development platform,8000,80,7500,93.8,negative,40,n/a,disclosed,https://www.roivant.com/,"Platform multiple ~94x; reflects optionality of pipeline-of-products model"
veeva,Veeva Systems,NYSE:VEEV,Vertical SaaS for life sciences,32000,2800,30000,10.7,40,73,15,disclosed,https://ir.veeva.com/,"Vertical SaaS in regulated industry; mature comp at $32B mkt cap; benchmark for B2B science software durability"
palantir,Palantir,NASDAQ:PLTR,Defense + commercial AI software,200000,3200,195000,60.9,30,80,30,disclosed,https://investors.palantir.com/,"Outlier multiple driven by AI premium and defense exposure; sovereignty narrative analog"
arista,Arista Networks,NYSE:ANET,Datacenter networking,135000,7000,130000,18.6,42,64,15,disclosed,https://investors.arista.com/,"Cisco competitor in datacenter; growth-tier infrastructure software"
nvidia,NVIDIA,NASDAQ:NVDA,AI compute,3000000,130000,2950000,22.7,55,75,55,disclosed,https://investor.nvidia.com/,"AI compute outlier; useful only as 'platform layer captures GDP unlock' anchor"
citrine,Citrine Informatics (private),private,Materials informatics,200,15,195,13,negative,55,30,triangulated,https://citrine.io/,"Series C 2022 reported ~$25M; cumulative $100M; trade press estimate at $200M"
orbital-materials,Orbital Materials (private),private,Foundation MLIP,80,2,78,40,negative,n/a,n/a,disclosed,https://orbitalmaterials.com/,"$20M Series A 2024 at ~$80M post; pre-revenue foundation MLIP company"
mattersmith-private,MatterSim spinout (hypothetical),private,Foundation MLIP,n/a,n/a,n/a,n/a,n/a,n/a,n/a,directional,,"Microsoft Research spinout potential; not yet a discrete commercial entity"
xtalpi,XtalPi,private,Computational drug + materials,1000,80,950,11.9,negative,55,28,disclosed,https://www.xtalpi.com/,"China-based computational platform; took primary financing rounds totaling $700M; closest direct competitor on positioning"
median-software-comp,Median software comp (Synopsys/Cadence/ANSYS/Altair/Veeva),benchmark,Engineering + vertical SaaS,n/a,n/a,n/a,15.0,38,75,14,projection,,"Median EV/Revenue for the engineering simulation + vertical SaaS group: ~15x. Apply this to mature Lupine."
median-ai-bio-comp,Median AI-for-bio + platform comp (Recursion/Schrodinger/Relay/Roivant),benchmark,AI for science,n/a,n/a,n/a,40.0,negative,55,30,projection,,"Median EV/Revenue for AI-for-science platform group: ~40x; reflects asymmetric upside captured in optionality"
