id,sector,subsector,annual_value_usd_b,year_at_scale,tier,source,notes
drugs,Healthcare,Drug discovery + clinical materials,1200,2045,triangulated,"McKinsey Bio Revolution 2020 ($4T cumulative impact); IQVIA pharma 2024 $1.6T; programmable matter for drug delivery + targeted therapy captures ~75% of materials-gated value","Pharma R&D + drug delivery polymers + LNP chemistry + cell-therapy scaffolds; programmable matter unlocks personalized synthesis"
biopolymers,Healthcare,Biopolymers + implants + regen medicine,180,2045,triangulated,"Frost & Sullivan cell+gene therapy 2030 $80B extrapolated to 2045; biocompatible polymers $11B 2024 -> $80B 2045 mature","Biocompatible polymers, regenerative medicine scaffolds, programmable bio-interfaces"
semiconductors,Compute,Semi materials + advanced packaging,800,2045,triangulated,"Semi industry $627B 2024 -> $1.1T 2030 -> ~$2.5T 2045 (McKinsey trillion-dollar industry); materials gating = ~30% of structural value","Photoresist, 2D channels, CoWoS substrates, advanced packaging materials, ChIPs Act-driven sovereignty"
batteries,Energy & travel,Battery + energy storage materials,500,2045,triangulated,"BNEF battery $400B 2030 -> ~$1.5T 2045; programmable matter for solid-state + Li-air + flow chemistries captures the structural delta","Solid-state, Li-air, Si anodes, eVTOL chemistries, grid-scale storage"
aerospace,Energy & travel,Aerospace alloys + AM + hypersonics,250,2045,triangulated,"AIA US aerospace R&D $28B/yr -> global $80B/yr by 2045; materials are ~30% of structural cost; programmable alloys + hypersonics multiply","Single-crystal turbines, hypersonics thermal protection, AM qualification, eVTOL airframe"
catalysts,Industrial,Catalysis + carbon capture,300,2045,triangulated,"BCG $30B synbio 2024 -> $200B+ 2045; CCS catalyst materials are gating $200B+ DAC market by 2045","Heterogeneous catalysts, DAC sorbents, electrocatalysts, plastic upcycling"
ag-food,Food & ag,Synthetic biology + food + ag biomaterials,400,2045,triangulated,"BCG synbio 2024 $30B -> $400B+ 2045 across health/ag/industrial; alt protein + cell-cultured + delivery formulations","Cell-cultured meat substrates, protein scaffolds, crop-protection delivery, biocides"
polymers-coatings,Industrial,"Polymers, coatings, structural materials",250,2045,triangulated,"Plastics + specialty polymers $700B 2024 (Grand View) -> $1.5T 2045; programmable matter captures structural innovations","High-performance polymers, programmable coatings, recyclable thermoplastics, smart materials"
energy-systems,Energy & travel,Solar + wind + nuclear materials,200,2045,triangulated,"IEA energy transition materials $2T+ cumulative 2030-50; perovskite solar + advanced nuclear materials are gating","Perovskite solar tandems, SMR fuel cycle, fusion materials, grid HV materials"
total,All sectors,Phase-4 addressable economic activity,4080,2045,triangulated,Sum of above,"~$4T/yr at phase-4 maturity (2045) — the addressable economic activity that depends on materials acceleration; conservative midpoint of the $2-5T McKinsey-style range"
