id,mechanism,description,sector_applicability,capture_rate_pct_of_value_unlocked,gross_margin_pct,sales_cycle_months,year_avail,tier,notes
saas-seat,SaaS subscription seats,Per-engineer/group/site licensing of Lupine engine,All,0.005,85,2,FY26,verified,"Standard SaaS layer; small absolute capture % but high frequency. Captures 0.005% of sector value (rounding floor) per seat licensed; aggregates with users."
managed-compute,Managed compute,Cloud-hosted DFT/MLIP/MD execution with managed-services markup,All,0.01,55,1,FY26,verified,"Cloud passthrough + 50% margin; bills per workload"
paid-pilot,Paid pilot / proof of concept,Customer-funded materials benchmark in Lupine framework,All,0.02,67,4,FY26,triangulated,"3-mo $150K POC priced as professional services; converts ~50% to production"
production-license,Annual production license,Full Lupine engine deployment with support,All,0.05,80,9,FY27,triangulated,"Mid-tier OEM ACV $750K-$1.5M; renewing annual"
enterprise-license,Enterprise multi-team license,Top-tier OEM/prime full deployment with ITAR-eligible build,Compute Travel,0.08,80,12,FY27,triangulated,"Aerospace prime / leading-edge foundry $1.5M-$3M ACV"
sponsored-research,Sponsored research / co-development,Customer-funded methodology development on shared problem,All,0.15,55,12,FY27,triangulated,"$500K-$2M engagement; partial Lupine IP retention; published outputs"
performance-contract,Performance / outcomes contract,"Tied to customer KPIs (cycle-time reduction, yield improvement)",Compute Travel,0.5,40,18,FY28,directional,"Customer pays % of measured savings; risk-share contract; only viable post-references"
royalty-license,Royalty / IP licensing,License Lupine methodology IP to a customer who deploys internally,All,1.0,90,12,FY28,directional,"Royalty on customer's downstream commercial revenue using Lupine-derived materials. Common in pharma/biotech adjacencies."
equity-stake,Equity stake / SAFE in customer,Take small equity in startup customer in lieu of cash,Travel Bio,2.0,100,3,FY27,directional,"5-15% of paid-pilot value as SAFE/warrant in seed/Series A battery + biotech startups; long-tail capture; ANSYS/Citrine/Schrodinger have used variants"
program-prime,Federal program prime contract,Direct DARPA/DOE/NIST/ARPA-E award with Lupine as prime,All,1.5,55,15,FY27,verified,"$2M-$10M+ multi-year direct contract; cost-share possible; high credibility yield"
methodology-marketplace,Methodology marketplace / app store,Revenue share on third-party MLIPs/methods hosted on Lupine,All,0.3,90,n/a,FY29,directional,"Hugging Face-style marketplace; 30% rev share; emerges only after platform mass"
data-product,Anonymized benchmark data product,Aggregated multi-customer benchmark insights sold as a data product,All,0.05,90,3,FY29,directional,"Subscription data product akin to Crunchbase/Daloopa for materials performance; opt-in only"
